statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q540812-09BAA2C8-BEB9-4029-97AD-6FDBBDC9FCB8,Q540812,Frances Fitzgerald,Q2641881,Dublin Mid–West,Q247135,Fine Gael,2016-03-10,"",32
Q540826-a3614bbd-44e2-814e-5ca6-5ec309a621b4,Q540826,Catherine Byrne,Q5310969,Dublin South–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q540826-D99F1F61-B21C-4A65-B4DB-031ED12E1E1F,Q540826,Catherine Byrne,Q5310969,Dublin South–Central,Q247135,Fine Gael,2016-03-10,"",32
Q5450326-91C4E38B-DDD1-4597-B6A0-65F876AE76D3,Q5450326,Finian McGrath,Q5310820,Dublin Bay North,Q327591,independent politician,2016-03-10,"",32
Q5450326-6B597754-581E-48B2-8E3E-B71E36A45091,Q5450326,Finian McGrath,Q2913560,Dublin North–Central,Q327591,independent politician,2011-03-09,2016-02-01,31
Q5549440-DD5A651B-530A-4960-8A53-922DA3749A52,Q5549440,Gerald Nash,Q6689841,Louth,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q559402-30B5A56D-6190-47A8-9909-74223EF2FD60,Q559402,Billy Kelleher,Q2357143,Cork North–Central,Q216517,Fianna Fáil,2016-03-10,"",32
Q559402-A9C85EE4-35AA-48B3-A1B5-27C596E1A352,Q559402,Billy Kelleher,Q2357143,Cork North–Central,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q559627-655F2EA0-87B1-4CFD-BD6E-7688340F07B4,Q559627,Jimmy Deenihan,Q6394603,Kerry North–West Limerick,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q559638-0ebc79f0-4cb1-1b25-737b-f4997430dbf9,Q559638,Pat Breen,Q2570782,Clare,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q559638-6B4A49EC-D6DD-41EA-AE90-708780B054C9,Q559638,Pat Breen,Q2570782,Clare,Q247135,Fine Gael,2016-03-10,"",32
Q560453-4336498d-4e62-b9ec-5a50-7557aecd59fa,Q560453,Pat Rabbitte,Q5310971,Dublin South–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5693903-F02C4BEC-A097-41E3-B3FA-E2D61B9F2BCC,Q5693903,Heather Humphreys,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5693903-7573FC15-02B9-4E9E-9E1F-76554AE9BCD4,Q5693903,Heather Humphreys,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2016-03-10,"",32
Q5761616-395b4ee7-4131-0a27-dcbd-3d473197988f,Q5761616,Hildegarde Naughton,Q2251639,Galway West,Q247135,Fine Gael,2016-03-10,"",32
Q57815-08951DE3-FB42-468E-9D5C-F1FCF49EE282,Q57815,Enda Kenny,Q1869725,Mayo,Q247135,Fine Gael,2016-03-10,"",32
Q57815-21f25baa-4945-fef8-97de-c5de89c4e8c1,Q57815,Enda Kenny,Q1869725,Mayo,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6129349-D77611CB-0CFE-4019-A30C-7BA1745524A9,Q6129349,James Bannon,Q6673850,Longford–Westmeath,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q616919-14FEA66F-0244-49D4-8A92-30CDCBD9AB6F,Q616919,Paul Murphy,Q5310971,Dublin South–West,Q21218940,Solidarity–People Before Profit,2016-03-10,"",32
Q616919-6cc81d8a-42eb-1534-20c2-bc26d0068b37,Q616919,Paul Murphy,Q5310971,Dublin South–West,Q16000050,Solidarity,2014-10-11,2016-02-03,31
Q6183343-AAFFC932-BD8F-4136-A83F-60D4D34EA620,Q6183343,Jerry Buttimer,Q2635304,Cork South–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6194524-F8C1F0B9-88B7-4D07-82C4-67C3533A99C1,Q6194524,Jim Daly,Q2746787,Cork South–West,Q247135,Fine Gael,2011-03-09,2011-02-03,31
Q6194524-8D2249A0-DAEA-4E69-B4B6-C3CEA7249F6E,Q6194524,Jim Daly,Q2746787,Cork South–West,Q247135,Fine Gael,2016-03-10,"",32
Q6204959-C25FC56B-9AC4-4675-AA30-AB0A4F5CB5D3,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q17100320,Independents 4 Change,2016-03-10,"",32
Q6204959-a1ba2667-48dd-d4c6-7b41-adc6e2c93a41,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q327591,independent politician,2013-04-25,2016-02-03,31
Q6204959-F348C8D6-A610-44E4-8B1C-80BD75EB44D7,Q6204959,Joan Collins,Q5310969,Dublin South–Central,Q3545406,People Before Profit Alliance,2011-03-09,2013-04-25,31
Q6209000-1314BA20-721D-4E62-99EA-17D9C1A5219C,Q6209000,Joe Carey,Q2570782,Clare,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6209000-0B19D3D6-358C-4390-887E-D0F66AE7D7E5,Q6209000,Joe Carey,Q2570782,Clare,Q247135,Fine Gael,2016-03-10,"",32
Q6211254-1D39D902-AD7E-41BB-9032-CC112D653A89,Q6211254,Joe McHugh,Q5295599,Donegal,Q247135,Fine Gael,2016-03-10,"",32
Q6211254-57F23E7A-E5E8-4BD2-8F2C-DFB7B874E046,Q6211254,Joe McHugh,Q2566127,Donegal North–East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6211607-7ED79667-EB09-4764-A42A-FB2109A47F9C,Q6211607,Joe O'Reilly,Q2701743,Cavan–Monaghan,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q6227930-3AAD2E20-47CD-4F84-BCEB-56A3A59ECF83,Q6227930,John Curran,Q2641881,Dublin Mid–West,Q216517,Fianna Fáil,2016-03-10,"",32
Q6237376-2F7CCF1D-A6E0-442C-BCF1-BFC46D9DD9B8,Q6237376,John Halligan,Q2109423,Waterford,Q327591,independent politician,2016-03-10,"",32
