id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q6070307,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6070697,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6099449,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6099611,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6101476,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6105633,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6105647,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6105649,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6105765,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6108443,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6109839,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6109888,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6109888,Q18882653,member of the Senate of Chile,"","",,,,,,
Q6109936,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6110011,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6110589,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6110876,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
